il,olum_2024,yarali_2024,kaza_olumlu_yaralanmali
Adana,87,5189,865
Adıyaman,25,1670,276
Afyonkarahisar,62,3684,615
Ağrı,45,2362,399
Aksaray,95,5830,970
Amasya,120,6498,1095
Ankara,325,10407,1886
Antalya,98,6085,1011
Ardahan,4,985,152
Artvin,20,1513,247
Aydın,49,2788,467
Balıkesir,90,5418,903
Bartın,23,1626,267
Batman,36,2346,388
Bayburt,13,331,63
Bilecik,102,5005,853
Bingöl,47,2745,459
Bitlis,107,5391,916
Bolu,133,7678,1285
Burdur,17,1396,226
Bursa,136,9016,1488
Çanakkale,110,5237,896
Çankırı,62,3543,593
Çorum,35,2216,367
Denizli,141,9258,1530
Diyarbakır,51,3292,545
Düzce,31,1683,283
Edirne,32,1909,318
Elazığ,142,7077,1204
Erzincan,106,5073,867
Erzurum,105,6315,1052
Eskişehir,107,7559,1241
Gaziantep,73,4969,818
Giresun,158,9386,1566
Gümüşhane,75,4039,681
Hakkari,79,4263,718
Hatay,125,8609,1416
Iğdır,98,6434,1063
Isparta,105,8796,1424
Istanbul,268,41414,6480
İzmir,155,10520,1733
Kahramanmaraş,29,1374,235
Karabük,48,2868,478
Karaman,44,2943,485
Kars,28,1756,291
Kastamonu,39,2404,400
Kayseri,38,1884,321
Kırıkkale,62,3871,643
Kırklareli,108,5250,896
Kırşehir,59,4300,704
Kilis,53,3830,628
Kocaeli,52,2669,452
Konya,62,3742,623
Kütahya,109,9515,1536
Malatya,96,6013,998
Manisa,77,6094,991
Mardin,45,2137,366
Mersin,118,5935,1008
Muğla,34,2879,466
Muş,65,4092,679
Nevşehir,140,8459,1409
Niğde,87,6402,1047
Ordu,99,4305,745
Osmaniye,98,6350,1050
Rize,106,7280,1198
Sakarya,114,7754,1277
Samsun,52,2497,427
Şanlıurfa,22,1762,286
Siirt,54,2920,492
Sinop,63,2771,479
Sivas,48,2869,478
Şırnak,128,8545,1410
Tekirdağ,125,6715,1132
Tokat,49,2971,495
Trabzon,87,6861,1116
Tunceli,16,943,157
Uşak,133,8078,1345
Van,67,4749,779
Yalova,46,3047,503
Yozgat,41,3119,509
Zonguldak,91,5312,888
